timestamp,message,logStreamName
1.65617E+12,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': invalid syntax (lambda_function.py, line 670)
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"" Line 670
        elif intent name == 'BookFlight':",2022/06/25/[$LATEST]0f2a733da9be4fe59ea3fa67f6c85458
1.65617E+12,"END RequestId: a37034cd-efd4-4c22-a112-92e69908869c
",2022/06/25/[$LATEST]0f2a733da9be4fe59ea3fa67f6c85458
1.65617E+12,"REPORT RequestId: a37034cd-efd4-4c22-a112-92e69908869c	Duration: 1.09 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 115.72 ms	
",2022/06/25/[$LATEST]0f2a733da9be4fe59ea3fa67f6c85458
1.65617E+12,"START RequestId: 5ab18efe-c982-4fbb-baa5-28bb263e9d5f Version: $LATEST
",2022/06/25/[$LATEST]5cd1ef56b8fc42119b8cd52af33e8852
1.65617E+12,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': invalid syntax (lambda_function.py, line 670)
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"" Line 670
        else intent name == 'BookFlight':",2022/06/25/[$LATEST]5cd1ef56b8fc42119b8cd52af33e8852
1.65617E+12,"END RequestId: 5ab18efe-c982-4fbb-baa5-28bb263e9d5f
",2022/06/25/[$LATEST]5cd1ef56b8fc42119b8cd52af33e8852
1.65617E+12,"REPORT RequestId: 5ab18efe-c982-4fbb-baa5-28bb263e9d5f	Duration: 1.28 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 119.56 ms	
",2022/06/25/[$LATEST]5cd1ef56b8fc42119b8cd52af33e8852
1.65617E+12,"START RequestId: dabda8b3-ecc9-4adb-9186-4a80ccb70f15 Version: $LATEST
",2022/06/25/[$LATEST]e53726b6be374a17856514e3f9b37560
1.65617E+12,"[ERROR] Runtime.UserCodeSyntaxError: Syntax error in module 'lambda_function': invalid syntax (lambda_function.py, line 670)
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"" Line 670
        else intent_name == 'BookFlight':",2022/06/25/[$LATEST]e53726b6be374a17856514e3f9b37560
1.65617E+12,"END RequestId: dabda8b3-ecc9-4adb-9186-4a80ccb70f15
",2022/06/25/[$LATEST]e53726b6be374a17856514e3f9b37560
1.65617E+12,"REPORT RequestId: dabda8b3-ecc9-4adb-9186-4a80ccb70f15	Duration: 1.28 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 116.18 ms	
",2022/06/25/[$LATEST]e53726b6be374a17856514e3f9b37560
